Name 	Score	 Formula 	 Mode(new) 	 Mode(old) 	 Identifiers 
conservation of momentum	0	p=4 (astro-ph0610339.tei)	7	6	'{''momentum'': [''p'']}'
conservation of momentum	0	c^{\prime}=0 (astro-ph0312274.tei)	7	6	'{''momentum'': [''c'']}'
conservation of momentum	0	p=-8.2^{0}\pm 0.5^{0} (astro-ph0312614.tei)	7	6	'{''momentum'': [''p'']}'
conservation of momentum	0	a(0)=1 (astro-ph0401269.tei)	7	6	'{''momentum'': [''a'']}'
conservation of momentum	0	p=-10^{\circ} (astro-ph0402371.tei)	7	6	'{''momentum'': [''p'']}'
conservation of momentum	0	{\ddot{a}}=0 (astro-ph0506392.tei)	7	6	'{''momentum'': [''a'']}'
conservation of momentum	0	p=0.2 (astro-ph0502032.tei)	7	6	'{''momentum'': [''p'']}'
conservation of momentum	0	p=1,2 (astro-ph0404378.tei)	7	6	'{''momentum'': [''p'']}'
conservation of momentum	0	c_{0}=1 (astro-ph9906117.tei)	7	6	'{''momentum'': [''c'']}'
conservation of momentum	0	p=\times,~{}+ (astro-ph0404441.tei)	7	6	'{''momentum'': [''p'']}'
conservation of momentum	0	c_{1}=43 (astro-ph0405083.tei)	7	6	'{''momentum'': [''c'']}'
conservation of momentum	0	p=2,4 (astro-ph0406078.tei)	7	6	'{''momentum'': [''p'']}'
conservation of momentum	0	p=101 (astro-ph0406387.tei)	7	6	'{''momentum'': [''p'']}'
conservation of momentum	0	p=50 (astro-ph0602579.tei)	7	6	'{''momentum'': [''p'']}'
conservation of momentum	0	p=110 (astro-ph0406387.tei)	7	6	'{''momentum'': [''p'']}'
conservation of momentum	0	p=60 (astro-ph0406387.tei)	7	6	'{''momentum'': [''p'']}'
conservation of momentum	0	c=4 (astro-ph0407543.tei)	7	6	'{''momentum'': [''c'']}'
conservation of momentum	0	p=-2 (astro-ph0407543.tei)	7	6	'{''momentum'': [''p'']}'
conservation of momentum	0	p=2,4,6 (astro-ph0409106.tei)	7	6	'{''momentum'': [''p'']}'
conservation of momentum	0	p=(4\pm\sqrt{6})/2 (astro-ph0410031.tei)	7	6	'{''momentum'': [''p'']}'
conservation of momentum	0	c=-1.18\times 10^{-4} (astro-ph0410133.tei)	7	6	'{''momentum'': [''c'']}'
conservation of momentum	0	(c=-1.18\times 10^{-4}) (astro-ph0410133.tei)	7	6	'{''momentum'': [''c'']}'
conservation of momentum	0	p=3 (astro-ph0603539.tei)	7	6	'{''momentum'': [''p'']}'
conservation of momentum	0	c^{2}=0.2 (astro-ph0411524.tei)	7	6	'{''momentum'': [''c'']}'
conservation of momentum	0	a^{\prime\prime}=0 (astro-ph9912046.tei)	7	6	'{''momentum'': [''a'']}'
conservation of momentum	0	\dot{a}=0=\ddot{a} (astro-ph0502589.tei)	7	6	'{''momentum'': [''a'']}'
conservation of momentum	0	a_{1}=0.13\pm 0.07 (astro-ph0503230.tei)	7	6	'{''momentum'': [''a'']}'
conservation of momentum	0	a_{2}=6.83\pm 1.61 (astro-ph0503230.tei)	7	6	'{''momentum'': [''a'']}'
conservation of momentum	0	a_{3}=4.57\pm 0.07 (astro-ph0503230.tei)	7	6	'{''momentum'': [''a'']}'
conservation of momentum	0	\;\;a_{1}=-0.30\pm 0.17 (astro-ph0503230.tei)	7	6	'{''momentum'': [''a'']}'
conservation of momentum	0	a_{2}=\;\;\;\;6.34\pm 3.19 (astro-ph0503230.tei)	7	6	'{''momentum'': [''a'']}'
conservation of momentum	0	a_{3}=\hskip 1.0pt-0.37\pm 0.14 (astro-ph0503230.tei)	7	6	'{''momentum'': [''a'']}'
conservation of momentum	0	a_{1}=-4.16\pm 2.53 (astro-ph0503230.tei)	7	6	'{''momentum'': [''a'']}'
conservation of momentum	0	a_{2}=\;\;\;1.67\pm 1.03 (astro-ph0503230.tei)	7	6	'{''momentum'': [''a'']}'
conservation of momentum	0	a_{1}=-21.79\pm 17.92 (astro-ph0503230.tei)	7	6	'{''momentum'': [''a'']}'
conservation of momentum	0	a_{2}=\hskip 7.0pt14.75\pm 13.07 (astro-ph0503230.tei)	7	6	'{''momentum'': [''a'']}'
conservation of momentum	0	a_{3}=\hskip 7.0pt-3.13\pm 3.07 (astro-ph0503230.tei)	7	6	'{''momentum'': [''a'']}'
conservation of momentum	0	\hskip 9.0pta_{1}=0.9992_{-0.0060}^{+0.0008} (astro-ph0503230.tei)	7	6	'{''momentum'': [''a'']}'
conservation of momentum	0	a_{1}=29.08\pm 7.30 (astro-ph0503230.tei)	7	6	'{''momentum'': [''a'']}'
conservation of momentum	0	\hskip 12.0pta_{2}=-0.097\pm 0.459 (astro-ph0503230.tei)	7	6	'{''momentum'': [''a'']}'
conservation of momentum	0	a_{2}=1.67\pm 1.03 (astro-ph0503230.tei)	7	6	'{''momentum'': [''a'']}'
conservation of momentum	0	a_{1}=-4.45\pm 2.81 (astro-ph0503230.tei)	7	6	'{''momentum'': [''a'']}'
conservation of momentum	0	a_{2}=1.87\pm 1.28 (astro-ph0503230.tei)	7	6	'{''momentum'': [''a'']}'
conservation of momentum	0	c_{1}=c_{2}=0 (astro-ph0503506.tei)	7	6	'{''momentum'': [''c'']}'
conservation of momentum	0	c_{1}=0.21 (astro-ph0503506.tei)	7	6	'{''momentum'': [''c'']}'
conservation of momentum	0	c_{2}=0.18 (astro-ph0503506.tei)	7	6	'{''momentum'': [''c'']}'
conservation of momentum	0	a\rightarrow\overline{a}=1/a (astro-ph0505601.tei)	7	6	'{''momentum'': [''a'']}'
conservation of momentum	0	p=0.99999999 (astro-ph0506519.tei)	7	6	'{''momentum'': [''p'']}'
conservation of momentum	0	a^{2}/a^{2}= (astro-ph0506534.tei)	7	6	'{''momentum'': [''a'']}'
conservation of momentum	0	c=6 (astro-ph0506558.tei)	7	6	'{''momentum'': [''c'']}'
conservation of momentum	0	p_{21}=0 (astro-ph0507067.tei)	7	6	'{''momentum'': [''p'']}'
conservation of momentum	0	p_{20}=1/2 (astro-ph0507067.tei)	7	6	'{''momentum'': [''p'']}'
conservation of momentum	0	p_{02}=-0.01 (astro-ph0507067.tei)	7	6	'{''momentum'': [''p'']}'
conservation of momentum	0	c=0.55 (astro-ph0507067.tei)	7	6	'{''momentum'': [''c'']}'
conservation of momentum	0	p_{02}=-0.05 (astro-ph0507067.tei)	7	6	'{''momentum'': [''p'']}'
conservation of momentum	0	c_{1}=1 (astro-ph0507632.tei)	7	6	'{''momentum'': [''c'']}'
conservation of momentum	0	c=0.81 (astro-ph0609699.tei)	7	6	'{''momentum'': [''c'']}'
conservation of momentum	0	c=0.61^{+0.45}_{-0.21} (astro-ph0609699.tei)	7	6	'{''momentum'': [''c'']}'
conservation of momentum	0	c=0.61 (astro-ph0609699.tei)	7	6	'{''momentum'': [''c'']}'
conservation of momentum	0	\tilde{a}_{{\scriptscriptstyle{0}}}=1 (astro-ph0509727.tei)	7	6	'{''momentum'': [''a'']}'
conservation of momentum	0	c=1.5 (astro-ph0509878.tei)	7	6	'{''momentum'': [''c'']}'
conservation of momentum	0	c=3.9 (astro-ph0509878.tei)	7	6	'{''momentum'': [''c'']}'
conservation of momentum	0	a_{1}=10^{-3} (astro-ph0510006.tei)	7	6	'{''momentum'': [''a'']}'
conservation of momentum	0	a_{2}=10^{4} (astro-ph0510006.tei)	7	6	'{''momentum'': [''a'']}'
conservation of momentum	0	a_{1}=a_{2} (astro-ph0511073.tei)	7	6	'{''momentum'': [''a'']}'
conservation of momentum	0	\dot{a}_{1}=-\dot{a}_{2} (astro-ph0511073.tei)	7	6	'{''momentum'': [''a'']}'
conservation of momentum	0	p_{1}=0.1 (astro-ph0511233.tei)	7	6	'{''momentum'': [''p'']}'
conservation of momentum	0	p_{2}=0.4 (astro-ph0511233.tei)	7	6	'{''momentum'': [''p'']}'
conservation of momentum	0	p_{1}=0 (astro-ph0511233.tei)	7	6	'{''momentum'': [''p'']}'
conservation of momentum	0	a=0.1 (astro-ph0511562.tei)	7	6	'{''momentum'': [''a'']}'
conservation of momentum	0	a=10\ \mbox{kpc} (astro-ph0511687.tei)	7	6	'{''momentum'': [''a'']}'
conservation of momentum	0	\displaystyle a_{0}\!\!=\!1, (astro-ph0512014.tei)	7	6	'{''momentum'': [''a'']}'
conservation of momentum	0	a=0.12 (astro-ph0512077.tei)	7	6	'{''momentum'': [''a'']}'
conservation of momentum	0	a=20.0 (astro-ph0512077.tei)	7	6	'{''momentum'': [''a'']}'
conservation of momentum	0	p=1,3, (astro-ph0512197.tei)	7	6	'{''momentum'': [''p'']}'
conservation of momentum	0	\tilde{c}=0.23 (astro-ph0512582.tei)	7	6	'{''momentum'': [''c'']}'
conservation of momentum	0	a_{1}=-12.35\pm 8.55 (astro-ph0602053.tei)	7	6	'{''momentum'': [''a'']}'
conservation of momentum	0	a_{2}=5.41\pm 3.82 (astro-ph0602053.tei)	7	6	'{''momentum'': [''a'']}'
conservation of momentum	0	a=0.05\pm 0.04 (astro-ph0602053.tei)	7	6	'{''momentum'': [''a'']}'
conservation of momentum	0	a_{1}=-4.54\pm 2.52 (astro-ph0602053.tei)	7	6	'{''momentum'': [''a'']}'
conservation of momentum	0	a_{2}=1.96\pm 1.09 (astro-ph0602053.tei)	7	6	'{''momentum'': [''a'']}'
conservation of momentum	0	c= (astro-ph0603289.tei)	7	6	'{''momentum'': [''c'']}'
conservation of momentum	0	p=13.5 (astro-ph0604195.tei)	7	6	'{''momentum'': [''p'']}'
conservation of momentum	0	p=15 (astro-ph0604195.tei)	7	6	'{''momentum'': [''p'']}'
conservation of momentum	0	p=16 (astro-ph0604195.tei)	7	6	'{''momentum'': [''p'']}'
conservation of momentum	0	p=14 (astro-ph0604195.tei)	7	6	'{''momentum'': [''p'']}'
conservation of momentum	0	p=20.86 (astro-ph0604195.tei)	7	6	'{''momentum'': [''p'']}'
conservation of momentum	0	p=-1 (astro-ph0606168.tei)	7	6	'{''momentum'': [''p'']}'
conservation of momentum	0	c^{2}= (astro-ph0606555.tei)	7	6	'{''momentum'': [''c'']}'
conservation of momentum	0	c=0.21^{+0.41}_{-0.12} (astro-ph0609699.tei)	7	6	'{''momentum'': [''c'']}'
conservation of momentum	0	c=0.81^{+0.23}_{-0.16} (astro-ph0609699.tei)	7	6	'{''momentum'': [''c'']}'
conservation of momentum	0	c=0.92 (astro-ph0609699.tei)	7	6	'{''momentum'': [''c'']}'
conservation of momentum	0	c=0.21 (astro-ph0609699.tei)	7	6	'{''momentum'': [''c'']}'
conservation of momentum	0	p=5\times 10^{-3} (astro-ph0610920.tei)	7	6	'{''momentum'': [''p'']}'
conservation of momentum	0	p=10^{-3} (astro-ph0610920.tei)	7	6	'{''momentum'': [''p'']}'
conservation of momentum	0	p=10^{-2} (astro-ph0610920.tei)	7	6	'{''momentum'': [''p'']}'
conservation of momentum	0	p=10^{-1} (astro-ph0610920.tei)	7	6	'{''momentum'': [''p'']}'
conservation of momentum	0	c=0.8 (astro-ph0611623.tei)	7	6	'{''momentum'': [''c'']}'
conservation of momentum	0	c=1.2 (astro-ph0611623.tei)	7	6	'{''momentum'': [''c'']}'
conservation of momentum	0	c=0.6 (astro-ph0611623.tei)	7	6	'{''momentum'': [''c'']}'
conservation of momentum	0	c=0.0018 (astro-ph0611645.tei)	7	6	'{''momentum'': [''c'']}'
conservation of momentum	0	c=0.0009,0.0018,0.0036,0.0054 (astro-ph0611645.tei)	7	6	'{''momentum'': [''c'']}'
conservation of momentum	0	a=0.70. (astro-ph0611770.tei)	7	6	'{''momentum'': [''a'']}'
conservation of momentum	0	a=0.56, (astro-ph0611770.tei)	7	6	'{''momentum'': [''a'']}'
conservation of momentum	0	a=0.70, (astro-ph0611770.tei)	7	6	'{''momentum'': [''a'']}'
conservation of momentum	0	c_{2}=-1/60 (astro-ph0702555.tei)	7	6	'{''momentum'': [''c'']}'
conservation of momentum	0	p=11.0 (astro-ph0703245.tei)	7	6	'{''momentum'': [''p'']}'
conservation of momentum	0	p=15.3 (astro-ph0703245.tei)	7	6	'{''momentum'': [''p'']}'
conservation of momentum	0	a=1,1.5,2,2.5,3 (astro-ph0703466.tei)	7	6	'{''momentum'': [''a'']}'
conservation of momentum	0	a=0.3 (astro-ph0703466.tei)	7	6	'{''momentum'': [''a'']}'
conservation of momentum	0	a=2 (astro-ph0703466.tei)	7	6	'{''momentum'': [''a'']}'
conservation of momentum	0	a=1.5 (astro-ph0703466.tei)	7	6	'{''momentum'': [''a'']}'
conservation of momentum	0	a=2.5 (astro-ph0703466.tei)	7	6	'{''momentum'': [''a'']}'
conservation of momentum	0	a=1,2 (astro-ph0703563.tei)	7	6	'{''momentum'': [''a'']}'
conservation of momentum	0	a=1,\,2 (astro-ph0703563.tei)	7	6	'{''momentum'': [''a'']}'
conservation of momentum	0	\bar{c}_{2}=0 (astro-ph9605094.tei)	7	6	'{''momentum'': [''c'']}'
conservation of momentum	0	\displaystyle{\hat{c}}=c_{0} (astro-ph9811072.tei)	7	6	'{''momentum'': [''c'']}'
conservation of momentum	0	c_{0}=c (astro-ph9811390.tei)	7	6	'{''momentum'': [''c'']}'
conservation of momentum	0	c=1. (astro-ph9812063.tei)	7	6	'{''momentum'': [''c'']}'
conservation of momentum	0	\dot{c}=0 (astro-ph9904185.tei)	7	6	'{''momentum'': [''c'']}'
conservation of momentum	1	p_{0}=p\,, (astro-ph9906117.tei)	7	6	'{''momentum'': [''p'']}'
elastic energy	2	U=\frac{1}{2}kx^{2}. (Harmonic_oscillator.html)	11	1	'[''U'', ''k'', ''x'']'
elastic energy	2	U=k{x}^{2}/2. (Harmonic_oscillator.html)	11	1	'[''U'', ''k'', ''x'']'
elastic energy	2	U(x)=\frac{1}{2}kx^{2}, (Potential_energy.html)	11	1	'[''U'', ''k'', ''x'']'
electromagnetic force	2	\vec{F}=q(\vec{E}+\vec{v}\times\vec{B}) (Force.html)	11	1	'[''F'', ''q'', ''E'', ''v'', ''B'']'
energy-momentum relation	2	\frac{E^{2}}{c^{2}}-p^{2}=m^{2}c^{2} (Dirac_equation.html)	11	1	'[''E'', ''p'', ''c'', ''m'']'
energy-momentum relation	2	E=c\sqrt{p^{2}+m^{2}c^{2}}\,, (Dirac_equation.html)	11	1	'[''E'', ''p'', ''c'', ''m'']'
energy-momentum relation	2	\sqrt{m_{1}^{2}c^{4}+p_{1}^{2}c^{2}}+\sqrt{m_{2}^{2}c^{4}+p_{2}^{2}c^{2}}=E (Elastic_collision.html)	11	1	'[''E'', ''p'', ''c'', ''m'']'
energy-momentum relation	2	p_{1}=\pm\frac{\sqrt{E^{4}-2E^{2}m_{1}^{2}c^{4}-2E^{2}m_{2}^{2}c^{4}+m_{1}^{4}%			
energy-momentum relation	1	\textstyle E_{\mathrm{p}}=m_{0}c^{2}, (Electron.html)	11	1	'[''E'', ''p'', ''c'', ''m'']'
energy-momentum relation	2	E^{2}=p^{2}c^{2}+m^{2}c^{4}\; (Tachyon.html)	11	1	'[''E'', ''p'', ''c'', ''m'']'
energy-momentum relation	2	E^{2}=p^{2}c^{2}+m^{2}c^{4}. (Photon.html)	11	1	'[''E'', ''p'', ''c'', ''m'']'
energy-momentum relation	1	E=mc^{2}=pc (Radiation_pressure.html)	11	1	'[''E'', ''p'', ''c'', ''m'']'
energy-momentum relation	0	s=v_{0}t+\frac{1}{2}at^{2}=\frac{v_{0}+v}{2}t (Acceleration.html)	8	3	'{''energy'': [''a''], ''momentum'': [''a''], ''speed of light'': [''v''], ''mass'': [''a'']}'
energy-momentum relation	0	\frac{a}{b}+\frac{c}{d}=\frac{ad+bc}{bd}. (Addition.html)	8	3	'{''energy'': [''a''], ''momentum'': [''a'', ''c''], ''speed of light'': [''c''], ''mass'': [''a'']}'
energy-momentum relation	0	o\odot c=a\odot(b\odot c) (Alpha_compositing.html)	8	3	'{''energy'': [''a''], ''momentum'': [''a'', ''c''], ''speed of light'': [''c''], ''mass'': [''a'']}'
energy-momentum relation	0	\mathbf{n}=(a,b,c) (Analytic_geometry.html)	8	3	'{''energy'': [''a''], ''momentum'': [''a'', ''c''], ''speed of light'': [''c''], ''mass'': [''a'']}'
energy-momentum relation	0	s=\tfrac{1}{2}(a+b+c) (Area.html)	8	3	'{''energy'': [''a''], ''momentum'': [''a'', ''c''], ''speed of light'': [''c''], ''mass'': [''a'']}'
energy-momentum relation	0	\Delta=b^{2}-4ac. (Quadratic_equation.html)	8	3	'{''energy'': [''a''], ''momentum'': [''a'', ''c''], ''speed of light'': [''c''], ''mass'': [''a'']}'
energy-momentum relation	0	a=f(b+c) (Arity.html)	8	3	'{''energy'': [''a''], ''momentum'': [''a'', ''c''], ''speed of light'': [''c''], ''mass'': [''a'']}'
energy-momentum relation	0	a\equiv\dot{v}=\dot{\beta}c (Bremsstrahlung.html)	8	3	'{''energy'': [''a''], ''momentum'': [''a'', ''c''], ''speed of light'': [''c'', ''v''], ''mass'': [''a'']}'
energy-momentum relation	1	E=\gamma mc^{2} (Bremsstrahlung.html)	8	3	'{''energy'': [''E''], ''momentum'': [''c''], ''speed of light'': [''c''], ''mass'': [''m'']}'
energy-momentum relation	0	v=a\cosh\tfrac{x_{2}}{a}-a\cosh\tfrac{x_{1}}{a}.\, (Catenary.html)	8	3	'{''energy'': [''a''], ''momentum'': [''a''], ''speed of light'': [''v''], ''mass'': [''a'']}'
energy-momentum relation	0	C=\{\,a\mapsto 0,b\mapsto 01,c\mapsto 011\,\} (Code.html)	8	3	'{''energy'': [''a''], ''momentum'': [''a'', ''c''], ''speed of light'': [''c''], ''mass'': [''C'', ''a'']}'
energy-momentum relation	0	\mathrm{Oxygen:}\ 2a+b+c=8 (Combustion.html)	8	3	'{''energy'': [''a''], ''momentum'': [''a'', ''c''], ''speed of light'': [''c''], ''mass'': [''a'']}'
energy-momentum relation	0	\scriptstyle(x-a)(x-b)(x-c)=0 (Complex_number.html)	8	3	'{''energy'': [''a''], ''momentum'': [''a'', ''c''], ''speed of light'': [''c''], ''mass'': [''a'']}'
energy-momentum relation	0	E_{e}=m_{e}c^{2}.\! (Compton_scattering.html)	8	3	'{''energy'': [''E''], ''momentum'': [''c''], ''speed of light'': [''c''], ''mass'': [''m'']}'
energy-momentum relation	1	E=\frac{m_{0}}{\sqrt{1-v^{2}/c^{2}}}c^{2}~{}, (Correspondence_principle.html)	8	3	'{''energy'': [''E''], ''momentum'': [''c''], ''speed of light'': [''c'', ''v''], ''mass'': [''m'']}'
energy-momentum relation	0	\Delta=b^{2}-4ac\,\! (Delta_(letter).html)	8	3	'{''energy'': [''a''], ''momentum'': [''a'', ''c''], ''speed of light'': [''c''], ''mass'': [''a'']}'
energy-momentum relation	0	(g^{ab})^{c}=g^{abc} (Diffie–Hellman_key_exchange.html)	8	3	'{''energy'': [''a''], ''momentum'': [''a'', ''c''], ''speed of light'': [''c''], ''mass'': [''a'']}'
energy-momentum relation	0	(g^{bc})^{a}=g^{bca}=g^{abc} (Diffie–Hellman_key_exchange.html)	8	3	'{''energy'': [''a''], ''momentum'': [''a'', ''c''], ''speed of light'': [''c''], ''mass'': [''a'']}'
energy-momentum relation	0	(g^{ca})^{b}=g^{cab}=g^{abc} (Diffie–Hellman_key_exchange.html)	8	3	'{''energy'': [''a''], ''momentum'': [''a'', ''c''], ''speed of light'': [''c''], ''mass'': [''a'']}'
energy-momentum relation	0	a^{n}+b^{n}=c^{n} (Diophantus.html)	8	3	'{''energy'': [''a''], ''momentum'': [''a'', ''c''], ''speed of light'': [''c''], ''mass'': [''a'']}'
energy-momentum relation	0	a^{3}-b^{3}=c^{3}+d^{3}. (Diophantus.html)	8	3	'{''energy'': [''a''], ''momentum'': [''a'', ''c''], ''speed of light'': [''c''], ''mass'': [''a'']}'
energy-momentum relation	0	ax^{2}+bx=c (Diophantus.html)	8	3	'{''energy'': [''a''], ''momentum'': [''a'', ''c''], ''speed of light'': [''c''], ''mass'': [''a'']}'
energy-momentum relation	0	ax^{2}=bx+c (Diophantus.html)	8	3	'{''energy'': [''a''], ''momentum'': [''a'', ''c''], ''speed of light'': [''c''], ''mass'': [''a'']}'
energy-momentum relation	0	ax^{2}+c=bx (Diophantus.html)	8	3	'{''energy'': [''a''], ''momentum'': [''a'', ''c''], ''speed of light'': [''c''], ''mass'': [''a'']}'
energy-momentum relation	2	\frac{E^{2}}{c^{2}}-p^{2}=m^{2}c^{2} (Dirac_equation.html)	8	3	'{''energy'': [''E''], ''momentum'': [''c'', ''p''], ''speed of light'': [''c''], ''mass'': [''m'']}'
energy-momentum relation	2	E=c\sqrt{p^{2}+m^{2}c^{2}}\,, (Dirac_equation.html)	8	3	'{''energy'': [''E''], ''momentum'': [''c'', ''p''], ''speed of light'': [''c''], ''mass'': [''m'']}'
energy-momentum relation	0	(a,b)+(c,d)=(a+c,b+d) (Direct_product.html)	8	3	'{''energy'': [''a''], ''momentum'': [''a'', ''c''], ''speed of light'': [''c''], ''mass'': [''a'']}'
energy-momentum relation	0	(a,b)(c,d)=(ac,bd) (Direct_product.html)	8	3	'{''energy'': [''a''], ''momentum'': [''a'', ''c''], ''speed of light'': [''c''], ''mass'': [''a'']}'
energy-momentum relation	0	\Delta=\,b^{2}-4ac. (Discriminant.html)	8	3	'{''energy'': [''a''], ''momentum'': [''a'', ''c''], ''speed of light'': [''c''], ''mass'': [''a'']}'
energy-momentum relation	0	\Delta=b^{2}-4ac.\, (Discriminant.html)	8	3	'{''energy'': [''a''], ''momentum'': [''a'', ''c''], ''speed of light'': [''c''], ''mass'': [''a'']}'
energy-momentum relation	0	\Delta=b^{2}-4ac,\, (Discriminant.html)	8	3	'{''energy'': [''a''], ''momentum'': [''a'', ''c''], ''speed of light'': [''c''], ''mass'': [''a'']}'
energy-momentum relation	0	x^{\prime}=x_{1}=v/2a,\ \ y^{\prime}=y_{1}+v^{2}/4a (Dual_number.html)	8	3	'{''energy'': [''a''], ''momentum'': [''a''], ''speed of light'': [''v''], ''mass'': [''a'']}'
energy-momentum relation	0	\sqrt{m_{1}^{2}c^{4}+p_{1}^{2}c^{2}}+\sqrt{m_{2}^{2}c^{4}+p_{2}^{2}c^{2}}=E (Elastic_collision.html)	8	3	'{''energy'': [''E''], ''momentum'': [''c'', ''p''], ''speed of light'': [''c''], ''mass'': [''m'']}'
energy-momentum relation	0	\textstyle E_{\mathrm{p}}=m_{0}c^{2}, (Electron.html)	8	3	'{''energy'': [''E''], ''momentum'': [''c'', ''p''], ''speed of light'': [''c''], ''mass'': [''m'']}'
energy-momentum relation	0	a+c=b+d (Elementary_algebra.html)	8	3	'{''energy'': [''a''], ''momentum'': [''a'', ''c''], ''speed of light'': [''c''], ''mass'': [''a'']}'
energy-momentum relation	0	ac=bd (Elementary_algebra.html)	8	3	'{''energy'': [''a''], ''momentum'': [''a'', ''c''], ''speed of light'': [''c''], ''mass'': [''a'']}'
energy-momentum relation	0	ax+b=c\, (Elementary_algebra.html)	8	3	'{''energy'': [''a''], ''momentum'': [''a'', ''c''], ''speed of light'': [''c''], ''mass'': [''a'']}'
energy-momentum relation	0	x=\frac{c-b}{a} (Elementary_algebra.html)	8	3	'{''energy'': [''a''], ''momentum'': [''a'', ''c''], ''speed of light'': [''c''], ''mass'': [''a'']}'
energy-momentum relation	0	ax^{2}+bx+c=0 (Quadratic_equation.html)	8	3	'{''energy'': [''a''], ''momentum'': [''a'', ''c''], ''speed of light'': [''c''], ''mass'': [''a'']}'
energy-momentum relation	0	x=\frac{-b\pm\sqrt{b^{2}-4ac}}{2a}, (Elementary_algebra.html)	8	3	'{''energy'': [''a''], ''momentum'': [''a'', ''c''], ''speed of light'': [''c''], ''mass'': [''a'']}'
energy-momentum relation	0	a^{p}+b^{p}=c^{p} (Elliptic_curve.html)	8	3	'{''energy'': [''a''], ''momentum'': [''a'', ''c'', ''p''], ''speed of light'': [''c''], ''mass'': [''a'']}'
energy-momentum relation	0	a=3p_{c}\,V_{c}^{2} (Equation_of_state.html)	8	3	'{''energy'': [''a''], ''momentum'': [''a'', ''c'', ''p''], ''speed of light'': [''c''], ''mass'': [''a'']}'
energy-momentum relation	0	ad=bc (Equivalence_class.html)	8	3	'{''energy'': [''a''], ''momentum'': [''a'', ''c''], ''speed of light'': [''c''], ''mass'': [''a'']}'
energy-momentum relation	0	a/b=c/d (Eudoxus_of_Cnidus.html)	8	3	'{''energy'': [''a''], ''momentum'': [''a'', ''c''], ''speed of light'': [''c''], ''mass'': [''a'']}'
energy-momentum relation	0	a_{n}^{2}=b_{n}^{2}+c_{n}^{2} (Fibonacci_number.html)	8	3	'{''energy'': [''a''], ''momentum'': [''a'', ''c''], ''speed of light'': [''c''], ''mass'': [''a'']}'
energy-momentum relation	0	ax^{3}+bx+c=0 (Gerolamo_Cardano.html)	8	3	'{''energy'': [''a''], ''momentum'': [''a'', ''c''], ''speed of light'': [''c''], ''mass'': [''a'']}'
energy-momentum relation	0	(f\circ g)^{\prime}(c)=\nabla f(a)\cdot g^{\prime}(c), (Gradient.html)	8	3	'{''energy'': [''a''], ''momentum'': [''a'', ''c''], ''speed of light'': [''c''], ''mass'': [''a'']}'
energy-momentum relation	0	'\dot{\rho}+3\frac{\dot{a}}{a}\left(\rho+\frac{P}{c^{2}}\right)=0; (Hubble''s_law.html)'	8	3	'{''energy'': [''a''], ''momentum'': [''a'', ''c''], ''speed of light'': [''c''], ''mass'': [''P'', ''a'']}'
energy-momentum relation	0	A=\left\{a,b,c\right\} (Huffman_coding.html)	8	3	'{''energy'': [''a''], ''momentum'': [''a'', ''c''], ''speed of light'': [''c''], ''mass'': [''a'']}'
energy-momentum relation	0	a+d=b+c.\,\! (Integer.html)	8	3	'{''energy'': [''a''], ''momentum'': [''a'', ''c''], ''speed of light'': [''c''], ''mass'': [''a'']}'
energy-momentum relation	0	[(a,b)]+[(c,d)]:=[(a+c,b+d)].\, (Integer.html)	8	3	'{''energy'': [''a''], ''momentum'': [''a'', ''c''], ''speed of light'': [''c''], ''mass'': [''a'']}'
energy-momentum relation	0	[(a,b)]\cdot[(c,d)]:=[(ac+bd,ad+bc)].\, (Integer.html)	8	3	'{''energy'': [''a''], ''momentum'': [''a'', ''c''], ''speed of light'': [''c''], ''mass'': [''a'']}'
energy-momentum relation	0	[(a,b)]-[(c,d)]:=[(a+d,b+c)].\, (Integer.html)	8	3	'{''energy'': [''a''], ''momentum'': [''a'', ''c''], ''speed of light'': [''c''], ''mass'': [''a'']}'
energy-momentum relation	0	p=ab=pcb\Rightarrow p(1-cb)=0. (Irreducible_element.html)	8	3	'{''energy'': [''a''], ''momentum'': [''a'', ''c'', ''p''], ''speed of light'': [''c''], ''mass'': [''a'']}'
energy-momentum relation	0	\tfrac{a}{b}=\tfrac{c}{d} (Irreducible_fraction.html)	8	3	'{''energy'': [''a''], ''momentum'': [''a'', ''c''], ''speed of light'': [''c''], ''mass'': [''a'']}'
energy-momentum relation	0	'\ \varepsilon={|cs|\over a}, (Kepler''s_laws_of_planetary_motion.html)'	8	3	'{''energy'': [''a''], ''momentum'': [''a'', ''c''], ''speed of light'': [''c''], ''mass'': [''a'']}'
energy-momentum relation	0	\gcd(a,\gcd(b,c))=\gcd(\gcd(a,b),c).\; (Least_common_multiple.html)	8	3	'{''energy'': [''a''], ''momentum'': [''a'', ''c''], ''speed of light'': [''c''], ''mass'': [''a'']}'
energy-momentum relation	0	\gcd(a,\operatorname{lcm}(b,c))=\operatorname{lcm}(\gcd(a,b),\gcd(a,c)).\; (Least_common_multiple.html)	8	3	'{''energy'': [''a''], ''momentum'': [''a'', ''c''], ''speed of light'': [''c''], ''mass'': [''a'']}'
energy-momentum relation	0	T(u+v)=T(u)+T(v),\quad T(av)=aT(v) (Linear_algebra.html)	8	3	'{''energy'': [''a''], ''momentum'': [''a''], ''speed of light'': [''v''], ''mass'': [''a'', ''u'']}'
